Name,City,Income,Credit Score,Loan Amount,Years Employed,Loan Approved,Income to Loan Ratio,Credit Band,Employment Band,Income Band ,Approval Flag,Risk Indicator 
Shannon Mccann,West Malik,120422,505,32392,20,No,4,Poor,10+ Years,100k+,0,Medium
James Flores,Faulknerbury,56365,633,25645,17,No,2,Fair,10+ Years,40k–59k,0,Medium
Jenna Wilson,New Wendy,123447,484,45676,35,No,3,Poor,10+ Years,100k+,0,Medium
Nicholas Hahn,South Lauren,70857,370,27813,31,No,3,Poor,10+ Years,60k–79k,0,Medium
Eric King,Lake Rodney,82296,686,5847,28,Yes,14,Fair,10+ Years,80k–99k,1,Medium
Karen Morales DDS,Stephensstad,118039,849,39916,40,Yes,3,Excellent,10+ Years,100k+,1,Low
Ashley Wright,Gabrielton,115180,709,22731,27,Yes,5,Good,10+ Years,100k+,1,Low
Brett Walker,South Neil,78944,774,45535,37,Yes,2,Excellent,10+ Years,60k–79k,1,Low
Brittany Cuevas,Garciachester,87422,387,8606,9,No,10,Poor,6–10 Years,80k–99k,0,Medium
Grant Mueller,Baileyville,147914,748,48316,28,Yes,3,Good,10+ Years,100k+,1,Low
Eric Patrick,North Melindaville,97839,468,49528,15,No,2,Poor,10+ Years,80k–99k,0,Medium
Kristen Rivera,Mullenbury,89177,714,42271,11,Yes,2,Good,10+ Years,80k–99k,1,Low
Matthew Foster,South Brittany,45860,698,1291,13,Yes,36,Fair,10+ Years,40k–59k,1,Medium
Paul Stokes,New Cristianside,62493,491,24972,20,No,3,Poor,10+ Years,60k–79k,0,Medium
Brian Lambert,Rosemouth,59451,697,41062,25,Yes,1,Fair,10+ Years,40k–59k,1,Medium
Hannah Bruce,Port Emily,38392,604,41270,37,No,1,Fair,10+ Years,<40k,0,Medium
Cesar Wilson,Darylstad,74313,444,34477,24,No,2,Poor,10+ Years,60k–79k,0,Medium
Chad Reyes,South Cynthia,32757,477,37366,10,No,1,Poor,6–10 Years,<40k,0,Medium
Charles Edwards MD,Port Michaeltown,107110,796,9947,12,Yes,11,Excellent,10+ Years,100k+,1,Low
Tracey Wagner,Ortizfort,102603,725,47539,28,Yes,2,Good,10+ Years,100k+,1,Low
Bradley Johnson DDS,Antoniobury,60161,850,19918,10,Yes,3,Excellent,6–10 Years,60k–79k,1,Low
Krystal Barton,Dunnville,107128,416,18556,34,No,6,Poor,10+ Years,100k+,0,Medium
Holly Carson,Port Jenniferside,58864,523,28862,6,No,2,Poor,6–10 Years,40k–59k,0,Medium
Martha Wright,South Joseland,30942,749,8693,15,Yes,4,Good,10+ Years,<40k,1,Low
Oscar Norris,Martinberg,39305,511,14562,3,No,3,Poor,3–5 Years,<40k,0,Medium
Kim Carlson,West Tiffany,122778,599,19961,36,Yes,6,Poor,10+ Years,100k+,1,Medium
Scott Duke,East Sydneychester,112719,360,19174,8,No,6,Poor,6–10 Years,100k+,0,Medium
Brandi Thomas,Mariafurt,37716,801,10317,36,Yes,4,Excellent,10+ Years,<40k,1,Low
Lori Brooks,Lake Lauraland,60007,712,34791,17,Yes,2,Good,10+ Years,60k–79k,1,Low
Sherry Gibson,Murphytown,38834,395,48902,29,No,1,Poor,10+ Years,<40k,0,Medium
Melissa Horn,Robinsonchester,148675,516,33421,17,No,4,Poor,10+ Years,100k+,0,Medium
Drew Kelley,New Melissa,34117,651,45731,3,No,1,Fair,3–5 Years,<40k,0,Medium
Mark Copeland,North Sarahburgh,142674,751,30918,0,Yes,5,Excellent,0–2 Years,100k+,1,Low
Jessica Forbes DVM,Erikview,73309,395,43899,23,No,2,Poor,10+ Years,60k–79k,0,Medium
Jacob Mckee,North Randy,39287,612,48578,14,No,1,Fair,10+ Years,<40k,0,Medium
Brandon Davis,South Christian,97391,531,35042,28,No,3,Poor,10+ Years,80k–99k,0,Medium
Michael Montoya,Bensonfort,61195,372,16004,24,No,4,Poor,10+ Years,60k–79k,0,Medium
Robert Garcia,Nicoleberg,66500,691,9725,9,Yes,7,Fair,6–10 Years,60k–79k,1,Medium
Justin Bishop,South Michael,117684,518,42161,9,No,3,Poor,6–10 Years,100k+,0,Medium
Lisa Ramos,North Peggy,93624,443,9071,37,No,10,Poor,10+ Years,80k–99k,0,Medium
Heather Jordan,East Joshua,58080,386,17263,35,No,3,Poor,10+ Years,40k–59k,0,Medium
Michelle Mitchell,Port Melanieport,100678,510,34931,38,No,3,Poor,10+ Years,100k+,0,Medium
Nicole Phillips,Port Rachaelbury,47342,806,26289,7,Yes,2,Excellent,6–10 Years,40k–59k,1,Low
Alexandria Ward,Davidshire,124811,730,24947,34,Yes,5,Good,10+ Years,100k+,1,Low
Pamela Best,North Brendatown,145655,568,15138,2,No,10,Poor,0–2 Years,100k+,0,Medium
Tiffany Sanders,Courtneyhaven,104847,725,28759,25,Yes,4,Good,10+ Years,100k+,1,Low
Joshua Jensen,Christopherland,105525,823,14316,9,Yes,7,Excellent,6–10 Years,100k+,1,Low
Jeanette Walters,West Hollybury,91953,359,17022,5,No,5,Poor,3–5 Years,80k–99k,0,Medium
Audrey Salazar,West Elizabethburgh,61850,422,1830,8,No,34,Poor,6–10 Years,60k–79k,0,Medium
Carla Benton,Garyberg,132841,575,49033,7,No,3,Poor,6–10 Years,100k+,0,Medium
Alyssa Roman,Alexandriaview,91993,378,33515,29,No,3,Poor,10+ Years,80k–99k,0,Medium
Amy Villarreal,West Eric,135840,405,38611,7,No,4,Poor,6–10 Years,100k+,0,Medium
Jordan Williams,East Brandonstad,83354,692,10835,11,Yes,8,Fair,10+ Years,80k–99k,1,Medium
Shannon Tran,Walkerbury,54957,726,48204,20,Yes,1,Good,10+ Years,40k–59k,1,Medium
Blake Watson,East Jeffreyhaven,42363,347,27275,4,No,2,Poor,3–5 Years,40k–59k,0,Medium
Sharon Ayala,Markside,42704,767,1522,23,Yes,28,Excellent,10+ Years,40k–59k,1,Low
Justin Torres,South Micheal,116374,805,13807,34,Yes,8,Excellent,10+ Years,100k+,1,Low
Danielle Smith,Johnsonside,86498,654,42677,0,No,2,Fair,0–2 Years,80k–99k,0,Medium
April Sandoval,Daltonhaven,76438,543,28513,31,No,3,Poor,10+ Years,60k–79k,0,Medium
Valerie Thomas,Christopherbury,85519,832,28070,23,Yes,3,Excellent,10+ Years,80k–99k,1,Low
Paul Carpenter,Lake Lori,83883,376,39790,36,No,2,Poor,10+ Years,80k–99k,0,Medium
Matthew Anderson,Josemouth,91213,702,46922,20,Yes,2,Good,10+ Years,80k–99k,1,Low
Dillon Jones,East Kimberly,143224,411,11184,6,No,13,Poor,6–10 Years,100k+,0,Medium
John Russell,Tamiborough,125561,762,21205,29,Yes,6,Excellent,10+ Years,100k+,1,Low
Bryan Moore,Margaretton,37100,520,22482,9,No,2,Poor,6–10 Years,<40k,0,Medium
David Kelly,Lake Kentburgh,118259,331,27502,28,No,4,Poor,10+ Years,100k+,0,Medium
Krista Davis,Port Lauraville,115649,312,5041,14,Yes,23,Poor,10+ Years,100k+,1,Medium
Rodney Watson,New Brendaland,114696,322,5225,12,Yes,22,Poor,10+ Years,100k+,1,Medium
Jill Anderson,Davidmouth,42899,351,12009,36,No,4,Poor,10+ Years,40k–59k,0,Medium
Nathaniel Crawford,Vegaburgh,37944,662,15071,11,No,3,Fair,10+ Years,<40k,0,Medium
Jeremy Hernandez,Lake Kenneth,82772,721,37089,30,Yes,2,Good,10+ Years,80k–99k,1,Low
Douglas Taylor,Lake Nicole,125448,838,17328,40,Yes,7,Excellent,10+ Years,100k+,1,Low
Kimberly Smith MD,Timothyfort,74473,652,38070,32,No,2,Fair,10+ Years,60k–79k,0,Medium
Devin Johnson,North Paula,134935,587,4839,30,Yes,28,Poor,10+ Years,100k+,1,Medium
Pamela Key,North John,142941,546,18467,34,No,8,Poor,10+ Years,100k+,0,Medium
Sylvia Brown,New Meghan,44322,697,24252,11,No,2,Fair,10+ Years,40k–59k,0,Medium
Kevin Drake,Robintown,62591,660,38201,36,No,2,Fair,10+ Years,60k–79k,0,Medium
Travis Copeland,Weaverburgh,55112,802,3487,5,Yes,16,Excellent,3–5 Years,40k–59k,1,Low
Kyle Smith,Smithborough,54931,433,23331,11,No,2,Poor,10+ Years,40k–59k,0,Medium
Sarah Morris,East Brendaberg,100292,413,35491,23,No,3,Poor,10+ Years,100k+,0,Medium
Jacqueline Mcmahon,Willismouth,88800,609,22142,8,Yes,4,Fair,6–10 Years,80k–99k,1,Medium
Morgan Kim,Banksburgh,48373,665,15630,37,No,3,Fair,10+ Years,40k–59k,0,Medium
Jamie Gross,Davidtown,85296,700,38190,2,No,2,Good,0–2 Years,80k–99k,0,Low
Evan Lamb,Lake Ariana,54050,808,10217,21,Yes,5,Excellent,10+ Years,40k–59k,1,Low
Cynthia Haas,Lake Nicole,66509,390,47462,40,No,1,Poor,10+ Years,60k–79k,0,Medium
Gabriela Smith,East Heather,90637,658,17820,6,Yes,5,Fair,6–10 Years,80k–99k,1,Medium
Amber Kim,Costachester,62742,804,25819,22,Yes,2,Excellent,10+ Years,60k–79k,1,Low
Ashley Mendoza,East Shannon,144620,334,20327,1,No,7,Poor,0–2 Years,100k+,0,Medium
Trevor Jones,South Eugene,39880,376,36851,5,No,1,Poor,3–5 Years,<40k,0,Medium
William Barry,South Sherriburgh,88082,744,11295,3,Yes,8,Good,3–5 Years,80k–99k,1,Low
Daniel Lee,Donnaport,135909,543,7285,3,No,19,Poor,3–5 Years,100k+,0,Medium
Joshua Henry,West Adamland,142898,601,44386,40,Yes,3,Fair,10+ Years,100k+,1,Medium
Christina Johnson,Lake Kelly,142193,383,32035,7,No,4,Poor,6–10 Years,100k+,0,Medium
James Burns,Christopherside,102132,696,13116,23,Yes,8,Fair,10+ Years,100k+,1,Medium
Jaclyn Griffin,Scottview,42833,531,18600,36,No,2,Poor,10+ Years,40k–59k,0,Medium
Paul Contreras,Lake Mauriceside,36630,723,39648,14,No,1,Good,10+ Years,<40k,0,Medium
Sara Cardenas,Sheppardfort,115477,541,32212,19,No,4,Poor,10+ Years,100k+,0,Medium
Steven Klein,North Stacy,100855,759,12329,10,Yes,8,Excellent,6–10 Years,100k+,1,Low
Rhonda Martinez,Millerchester,139579,506,42105,9,No,3,Poor,6–10 Years,100k+,0,Medium
Deanna Bartlett,North Paulfurt,31934,633,19101,33,No,2,Fair,10+ Years,<40k,0,Medium
Shane Buchanan,Rodriguezberg,42224,451,38132,37,No,1,Poor,10+ Years,40k–59k,0,Medium
Traci Garcia,New Kimberlyport,128771,848,23535,26,Yes,5,Excellent,10+ Years,100k+,1,Low
Matthew Armstrong,Johnsonview,141240,712,10427,39,Yes,14,Good,10+ Years,100k+,1,Low
Melissa Williams,Hannahton,60982,786,18601,23,Yes,3,Excellent,10+ Years,60k–79k,1,Low
Robert Turner,Meganville,51798,533,9807,19,No,5,Poor,10+ Years,40k–59k,0,Medium
Jessica Petersen,Jessicaland,83269,492,29948,13,No,3,Poor,10+ Years,80k–99k,0,Medium
Jennifer Washington,Lorihaven,93653,462,5300,19,No,18,Poor,10+ Years,80k–99k,0,Medium
Jennifer Deleon,East Jamesborough,93092,359,17350,2,No,5,Poor,0–2 Years,80k–99k,0,Medium
Thomas Bush,Michealmouth,58016,817,27014,40,Yes,2,Excellent,10+ Years,40k–59k,1,Low
Melanie Allen,Wheelerburgh,143331,785,39461,35,Yes,4,Excellent,10+ Years,100k+,1,Low
Christopher Kline,West Anthonyton,82565,466,38503,13,No,2,Poor,10+ Years,80k–99k,0,Medium
Maria Byrd,Denisehaven,148284,320,45708,0,No,3,Poor,0–2 Years,100k+,0,Medium
Carlos Thompson,East Johnnyport,37685,581,28774,24,No,1,Poor,10+ Years,<40k,0,Medium
Judy Robinson,Ericafurt,51579,404,1481,32,No,35,Poor,10+ Years,40k–59k,0,Medium
Dr. Sara Hoffman DDS,Kennethville,79672,793,5183,21,Yes,15,Excellent,10+ Years,60k–79k,1,Low
Margaret Hensley MD,Jacobhaven,30282,546,4720,38,No,6,Poor,10+ Years,<40k,0,Medium
Francisco Taylor,Lake Tylerport,81173,565,28431,25,No,3,Poor,10+ Years,80k–99k,0,Medium
Andrew Erickson,West Jessica,64760,527,45978,34,No,1,Poor,10+ Years,60k–79k,0,Medium
Karen Shepard,Williamburgh,132769,485,20253,6,No,7,Poor,6–10 Years,100k+,0,Medium
Patrick Hardy,Lake Rachel,132908,391,15565,22,No,9,Poor,10+ Years,100k+,0,Medium
Seth Fisher,Nathanshire,89638,601,31393,7,No,3,Fair,6–10 Years,80k–99k,0,Medium
Sean Silva,South Pamelahaven,67388,422,45610,24,No,1,Poor,10+ Years,60k–79k,0,Medium
Jennifer Pitts,East Victoria,85444,650,27816,36,Yes,3,Fair,10+ Years,80k–99k,1,Medium
Victoria Thomas,Port Christopher,121303,640,42355,11,Yes,3,Fair,10+ Years,100k+,1,Medium
Anthony Hayes,Port Kim,125748,462,33084,5,No,4,Poor,3–5 Years,100k+,0,Medium
Jeffrey Jordan,Sanfordfurt,132676,304,3472,34,Yes,38,Poor,10+ Years,100k+,1,Medium
Jake Smith,Katherinehaven,102845,495,2174,0,No,47,Poor,0–2 Years,100k+,0,Medium
Danielle Steele,Larryville,116752,692,33986,37,Yes,3,Fair,10+ Years,100k+,1,Medium
Austin Williams,Stephenhaven,124163,836,23140,27,Yes,5,Excellent,10+ Years,100k+,1,Low
Whitney Cooper,Howardborough,93788,468,27436,1,No,3,Poor,0–2 Years,80k–99k,0,Medium
Nicholas Anderson,New Williamville,50289,675,47603,2,No,1,Fair,0–2 Years,40k–59k,0,Medium
Martin Wise,New Virginiaville,54890,320,4161,7,No,13,Poor,6–10 Years,40k–59k,0,Medium
James Kelley,Milesborough,68890,309,20733,26,No,3,Poor,10+ Years,60k–79k,0,Medium
Mary Nelson,South Maria,58534,407,34527,39,No,2,Poor,10+ Years,40k–59k,0,Medium
Brian Rodriguez,New James,37665,569,35284,12,No,1,Poor,10+ Years,<40k,0,Medium
Jason Martin,Lozanofort,105914,638,16368,0,No,6,Fair,0–2 Years,100k+,0,Medium
Brandon Rodriguez,Hernandezland,126434,823,5918,6,Yes,21,Excellent,6–10 Years,100k+,1,Low
Maria Bryant,Josephton,101066,402,12449,2,No,8,Poor,0–2 Years,100k+,0,Medium
Heather Rhodes,Rodgersville,37989,346,1633,8,No,23,Poor,6–10 Years,<40k,0,Medium
Carolyn Howard,Friedmanview,128038,395,25420,21,No,5,Poor,10+ Years,100k+,0,Medium
James Rivers,Maryfort,71104,731,43522,10,Yes,2,Good,6–10 Years,60k–79k,1,Low
Michael Brown,North Robert,37492,794,38286,28,Yes,1,Excellent,10+ Years,<40k,1,Medium
James Howard,Port Gabrielleberg,36572,794,32989,7,No,1,Excellent,6–10 Years,<40k,0,Medium
Jessica Brown,Alexanderhaven,106569,529,44898,21,No,2,Poor,10+ Years,100k+,0,Medium
Melissa Montgomery,Stanleybury,92493,793,23659,24,Yes,4,Excellent,10+ Years,80k–99k,1,Low
Ronald Mcclain,North Dawnburgh,95909,817,31755,31,Yes,3,Excellent,10+ Years,80k–99k,1,Low
Angela Vasquez,West Tara,141767,351,34222,14,No,4,Poor,10+ Years,100k+,0,Medium
Jamie Montoya,South Seanshire,99615,758,6768,31,Yes,15,Excellent,10+ Years,80k–99k,1,Low
Bryan Jimenez,North Richardton,50635,300,6956,38,No,7,Poor,10+ Years,40k–59k,0,Medium
Marcia Wu,Lake Emily,37455,649,24812,3,No,2,Fair,3–5 Years,<40k,0,Medium
Sarah Rivera,Moranstad,96562,763,8472,6,Yes,11,Excellent,6–10 Years,80k–99k,1,Low
Courtney Peterson,Amystad,40500,408,4000,10,No,10,Poor,6–10 Years,40k–59k,0,Medium
Rodney Newton MD,Cherylborough,141587,423,26748,13,No,5,Poor,10+ Years,100k+,0,Medium
Richard Love,Port Robertshire,54356,426,30524,29,No,2,Poor,10+ Years,40k–59k,0,Medium
Tina Taylor,Smithton,38981,743,39346,30,Yes,1,Good,10+ Years,<40k,1,Medium
Priscilla Kent,Lake Lisa,107992,406,26389,38,No,4,Poor,10+ Years,100k+,0,Medium
Erica Keith,Pettybury,38907,580,27074,21,No,1,Poor,10+ Years,<40k,0,Medium
Jodi Anderson,Morrisonhaven,118501,606,46973,35,Yes,3,Fair,10+ Years,100k+,1,Medium
Michelle Walls,East Jason,142960,597,45997,22,Yes,3,Poor,10+ Years,100k+,1,Medium
Brandi Page,New Amy,60828,630,47553,7,No,1,Fair,6–10 Years,60k–79k,0,Medium
Kristina Aguilar,Craigside,82923,592,28681,0,No,3,Poor,0–2 Years,80k–99k,0,Medium
Allison Thomas,East Josephburgh,45713,593,45786,16,No,1,Poor,10+ Years,40k–59k,0,Medium
Antonio Mueller,Port Amber,146691,667,30661,6,Yes,5,Fair,6–10 Years,100k+,1,Medium
Megan Hoffman,Lake Deborah,104668,698,16571,32,Yes,6,Fair,10+ Years,100k+,1,Medium
Rebecca Roberts,South Paulmouth,62271,355,1849,16,No,34,Poor,10+ Years,60k–79k,0,Medium
Sean Dalton,Greerstad,105880,501,48507,12,No,2,Poor,10+ Years,100k+,0,Medium
Christopher Fleming,East Jill,107924,422,25720,2,No,4,Poor,0–2 Years,100k+,0,Medium
Justin Anderson,Adammouth,35209,458,3617,9,No,10,Poor,6–10 Years,<40k,0,Medium
Linda Ayala,Tracyshire,111183,666,5776,20,Yes,19,Fair,10+ Years,100k+,1,Medium
Tina Meyer,South Amy,40745,713,7025,22,Yes,6,Good,10+ Years,40k–59k,1,Low
Daniel Rivera,Kellyhaven,84948,786,37787,0,Yes,2,Excellent,0–2 Years,80k–99k,1,Low
Gregory Allen,North Felicia,116163,628,25993,7,Yes,4,Fair,6–10 Years,100k+,1,Medium
Joshua Campbell,Williehaven,106503,756,32903,2,Yes,3,Excellent,0–2 Years,100k+,1,Low
Matthew Flores,North Garyside,104085,846,1480,40,Yes,70,Excellent,10+ Years,100k+,1,Low
Michael Ayala,Houstonborough,98522,850,47054,27,Yes,2,Excellent,10+ Years,80k–99k,1,Low
Teresa Burgess,North Stephen,71467,639,3482,5,Yes,21,Fair,3–5 Years,60k–79k,1,Medium
Christopher King,New Lorraineview,64179,717,26430,28,Yes,2,Good,10+ Years,60k–79k,1,Low
Jessica Smith,New Adamland,56772,346,46933,4,No,1,Poor,3–5 Years,40k–59k,0,Medium
Jonathan Roberts,Catherineport,117782,748,25996,25,Yes,5,Good,10+ Years,100k+,1,Low
Amanda Moore,East Julie,123872,602,42552,9,Yes,3,Fair,6–10 Years,100k+,1,Medium
Stephen Sanford,Susantown,71180,444,9076,2,No,8,Poor,0–2 Years,60k–79k,0,Medium
Kyle Medina,West Jasonstad,61285,516,28043,32,No,2,Poor,10+ Years,60k–79k,0,Medium
Clinton Jensen,Jamesburgh,64814,355,36969,29,No,2,Poor,10+ Years,60k–79k,0,Medium
Angel Powers,Coreyshire,81876,798,22682,22,Yes,4,Excellent,10+ Years,80k–99k,1,Low
Matthew Garcia,East Louismouth,47154,636,41392,19,No,1,Fair,10+ Years,40k–59k,0,Medium
Brittany Knight,Susanburgh,118039,304,21526,15,No,5,Poor,10+ Years,100k+,0,Medium
Michelle Davidson,Maryberg,114607,639,32454,29,Yes,4,Fair,10+ Years,100k+,1,Medium
Raymond Tucker,East Debbieland,69321,587,10175,34,Yes,7,Poor,10+ Years,60k–79k,1,Medium
Nicholas Sims,North Melissatown,89929,714,39668,13,Yes,2,Good,10+ Years,80k–99k,1,Low
Kristen Stephens,Valdezberg,71441,674,26722,14,Yes,3,Fair,10+ Years,60k–79k,1,Medium
Leah Vincent,South Walter,128548,392,27003,23,No,5,Poor,10+ Years,100k+,0,Medium
Mary Charles,Port Willie,39508,756,11434,11,Yes,3,Excellent,10+ Years,<40k,1,Low
Krystal Brennan,Lake Jessica,31220,667,3648,14,No,9,Fair,10+ Years,<40k,0,Medium
Crystal Baker,North Elizabeth,90068,830,24674,24,Yes,4,Excellent,10+ Years,80k–99k,1,Low
Jesse Williams,Dakotahaven,111416,580,49621,16,Yes,2,Poor,10+ Years,100k+,1,Medium
Laura Bennett,Diazland,103792,829,17487,24,Yes,6,Excellent,10+ Years,100k+,1,Low
Courtney Sullivan,Tommyfort,43104,306,33888,8,No,1,Poor,6–10 Years,40k–59k,0,Medium
David Robertson,Jasonburgh,39602,461,24738,38,No,2,Poor,10+ Years,<40k,0,Medium
Bailey Hall,Jenniferfort,100468,790,32393,13,Yes,3,Excellent,10+ Years,100k+,1,Low
Maria Jenkins,North David,57938,464,9829,40,No,6,Poor,10+ Years,40k–59k,0,Medium
Stephanie Thomas,West Sandra,96307,829,27571,38,Yes,3,Excellent,10+ Years,80k–99k,1,Low
Marcia Johns,Staceyborough,64760,759,40749,30,Yes,2,Excellent,10+ Years,60k–79k,1,Low
Carolyn Greer,Port Brandi,47361,486,41842,32,No,1,Poor,10+ Years,40k–59k,0,Medium
Nathaniel Cooper,Carlsonland,75745,535,25786,24,No,3,Poor,10+ Years,60k–79k,0,Medium
Alan Mills,Serranoville,145456,481,32186,39,No,5,Poor,10+ Years,100k+,0,Medium
Sherry Schmidt,North Timothyberg,39016,301,45470,27,No,1,Poor,10+ Years,<40k,0,Medium
Jacqueline Williams,Perezfort,145247,690,23971,37,Yes,6,Fair,10+ Years,100k+,1,Medium
Susan Hood,South Dennisfort,62018,538,6493,18,No,10,Poor,10+ Years,60k–79k,0,Medium
Kimberly Scott,Lake Juliatown,78434,835,8722,33,Yes,9,Excellent,10+ Years,60k–79k,1,Low
Matthew Watts,Robertville,67353,458,28923,37,No,2,Poor,10+ Years,60k–79k,0,Medium
Scott Henderson,Cherylfurt,50676,508,28081,35,No,2,Poor,10+ Years,40k–59k,0,Medium
Karen Wood,Kingport,87433,652,47235,25,No,2,Fair,10+ Years,80k–99k,0,Medium
Sarah Hopkins,South Krista,139280,465,7571,13,Yes,18,Poor,10+ Years,100k+,1,Medium
Rachel Owen,East Paultown,101200,393,10524,30,No,10,Poor,10+ Years,100k+,0,Medium
Bobby Johnson,Ariasfurt,122214,833,19774,38,Yes,6,Excellent,10+ Years,100k+,1,Low
Raymond Thompson,Gonzalesborough,69651,830,19743,12,Yes,4,Excellent,10+ Years,60k–79k,1,Low
Kyle Black,New Gavin,110173,336,24575,15,No,4,Poor,10+ Years,100k+,0,Medium
Vanessa Miller,Kimberlystad,135788,704,27571,37,Yes,5,Good,10+ Years,100k+,1,Low
Adrian Padilla,New Justinside,115717,656,23772,17,Yes,5,Fair,10+ Years,100k+,1,Medium
Victor Gibson,Andrewsview,99329,479,27681,32,No,4,Poor,10+ Years,80k–99k,0,Medium
Benjamin Phillips,Port Williamview,31025,850,38676,16,Yes,1,Excellent,10+ Years,<40k,1,Medium
Tracy Hart,Port Matthew,117538,769,45668,29,Yes,3,Excellent,10+ Years,100k+,1,Low
Shannon Olson,Carlosbury,137099,535,21691,26,No,6,Poor,10+ Years,100k+,0,Medium
Kelli Smith,Johnland,102692,708,45151,21,Yes,2,Good,10+ Years,100k+,1,Low
Timothy Woods,Jefferyshire,69240,575,12978,12,No,5,Poor,10+ Years,60k–79k,0,Medium
Mr. Nicolas Salas II,Port John,116951,664,11223,6,Yes,10,Fair,6–10 Years,100k+,1,Medium
Blake Sosa,Austinside,43577,343,32607,23,No,1,Poor,10+ Years,40k–59k,0,Medium
Katherine Galloway,Travishaven,145097,586,27075,14,Yes,5,Poor,10+ Years,100k+,1,Medium
Bethany Fox,Mendozaside,47601,333,33930,22,No,1,Poor,10+ Years,40k–59k,0,Medium
Michael Thompson,Lake Aprilmouth,64664,308,1774,13,No,36,Poor,10+ Years,60k–79k,0,Medium
Brian Ward,Jacobview,45129,542,18655,30,No,2,Poor,10+ Years,40k–59k,0,Medium
Grace White,Clarkstad,146616,673,27253,17,Yes,5,Fair,10+ Years,100k+,1,Medium
Kenneth Krause,Port Cory,44029,576,16453,35,No,3,Poor,10+ Years,40k–59k,0,Medium
James Thomas,South Linda,127310,480,28624,31,No,4,Poor,10+ Years,100k+,0,Medium
Steven Mccoy,Kristenport,102512,556,37840,36,No,3,Poor,10+ Years,100k+,0,Medium
Brett Martin,Port Jonathan,50374,398,30481,21,No,2,Poor,10+ Years,40k–59k,0,Medium
Isaac Grant,Mauricechester,65697,424,24009,38,No,3,Poor,10+ Years,60k–79k,0,Medium
Kenneth Banks,Port Justin,66930,632,45118,32,No,1,Fair,10+ Years,60k–79k,0,Medium
Dr. Steve James,Stevenberg,109276,471,42981,21,No,3,Poor,10+ Years,100k+,0,Medium
Logan Sullivan,North Fernandobury,57607,621,21766,18,No,3,Fair,10+ Years,40k–59k,0,Medium
Lisa Foster,Normanstad,124058,833,30510,26,Yes,4,Excellent,10+ Years,100k+,1,Low
Scott Martinez,Lake Johnathan,74942,381,14800,10,No,5,Poor,6–10 Years,60k–79k,0,Medium
Brendan Zuniga,Kelleytown,56685,706,35339,5,No,2,Good,3–5 Years,40k–59k,0,Low
Luke Miller,Parkerbury,120111,590,30042,40,Yes,4,Poor,10+ Years,100k+,1,Medium
Joseph Jackson,Lake Michaelmouth,113130,787,31617,34,Yes,4,Excellent,10+ Years,100k+,1,Low
Kimberly Taylor,New Carla,141792,745,35305,40,Yes,4,Good,10+ Years,100k+,1,Low
Emily Reed,Port Christopher,64600,615,24971,26,No,3,Fair,10+ Years,60k–79k,0,Medium
Eric Smith,West Justin,96244,847,1545,31,Yes,62,Excellent,10+ Years,80k–99k,1,Low
Karen Smith,Yatesbury,94032,307,36927,23,No,3,Poor,10+ Years,80k–99k,0,Medium
Stephen Kim,East Jennifer,62914,699,25796,14,Yes,2,Fair,10+ Years,60k–79k,1,Medium
Jay Allen,Justinside,148664,575,28060,12,No,5,Poor,10+ Years,100k+,0,Medium
Catherine Roberts,Williamsonview,149034,803,13306,20,Yes,11,Excellent,10+ Years,100k+,1,Low
Anthony Nichols,North Julian,140900,428,47871,28,No,3,Poor,10+ Years,100k+,0,Medium
Crystal Hernandez,Robinsonchester,36658,619,33662,23,No,1,Fair,10+ Years,<40k,0,Medium
Rick Rivera,North Joseph,42097,701,5678,34,Yes,7,Good,10+ Years,40k–59k,1,Low
Corey Skinner,Claytonville,113136,554,26218,28,No,4,Poor,10+ Years,100k+,0,Medium
Zachary Gonzalez,New Elizabethborough,85518,784,26501,19,Yes,3,Excellent,10+ Years,80k–99k,1,Low
Caitlin Chandler,West Timothyport,138704,503,24620,3,No,6,Poor,3–5 Years,100k+,0,Medium
Claudia Rodriguez,Nguyenburgh,66265,582,39318,7,No,2,Poor,6–10 Years,60k–79k,0,Medium
David Novak,Barkerberg,35778,680,6864,15,Yes,5,Fair,10+ Years,<40k,1,Medium
Brandon Montgomery,North Michaelberg,30464,849,8038,8,Yes,4,Excellent,6–10 Years,<40k,1,Low
Eugene Grant DDS,Lindamouth,73719,497,2399,24,No,31,Poor,10+ Years,60k–79k,0,Medium
Chad Roach,Mannside,131072,601,36568,31,Yes,4,Fair,10+ Years,100k+,1,Medium
Cody Bailey,Hillside,47146,464,5513,33,No,9,Poor,10+ Years,40k–59k,0,Medium
Edward Baker,Shawnhaven,113507,688,49080,11,Yes,2,Fair,10+ Years,100k+,1,Medium
Lisa Diaz,West Jennifer,64335,696,13443,33,Yes,5,Fair,10+ Years,60k–79k,1,Medium
Pamela Moore,Marcusmouth,51178,413,7308,33,No,7,Poor,10+ Years,40k–59k,0,Medium
Amanda Pace,Port Anthony,127154,409,32809,12,No,4,Poor,10+ Years,100k+,0,Medium
Kenneth Huff,Foxshire,87912,562,4216,23,No,21,Poor,10+ Years,80k–99k,0,Medium
Mitchell Smith,Lake Travis,102309,381,31674,40,No,3,Poor,10+ Years,100k+,0,Medium
Justin Hurley,Shortton,122493,572,35669,2,No,3,Poor,0–2 Years,100k+,0,Medium
